Raccomandabilità,Accoglienza,Esperienza d'acquisto,Esperienza consegna,Test Drive,Qualità esperienza test drive,Overall complessivo generale,Note cliente
4,6,6,8,No,,4,La Signora *** si è dimostrata gentile e disponibile. Tutto il resto negativo
10,10,10,10,Si,10.0,10,"Il sig *** in fase d acquisto è la sig.ra *** in fase di consegna ,oltre la professionalità dimostrata hanno la dote innata di creare un feeling con il cliente e non mi sentivo più tale bensì un amico che è passato a trovarli.Complimenti ver"
10,10,9,10,No,,10,Professionisti eorganizati grazie
10,10,10,10,Si,10.0,10,Sono stati molto gentili mi hanno trattato molto bene e sono molto soddisfatta della mia Acquisto
10,10,10,10,Si,10.0,10,Tutto molto soddisfacente.
10,10,10,10,Si,10.0,10,
1,3,2,1,Si,2.0,1,Nn ho visto nessun omaggio da nessuna azienda agricola!!!
10,10,10,10,Si,10.0,10,"Ho Acquistato una Moto BMW R1300GS da BMW Motorrad di ***, non una automobile. Ho fatto il Test Ride. Non ho ricevuto omaggi dell'azienda agricola La Florida."
10,9,10,9,Si,10.0,10,Tutto ok
10,10,10,10,Non necessario,,10,È la seconda auto che acquisto presso di voi ed è sempre tutto perfetto!! Credo proprio che non cambierò!!
10,10,10,10,Non necessario,,10,Tutto perfetto! Complimenti a *** e ***!
10,10,10,10,Non necessario,,10,"*** veramente gentile, paziente e disponibile,merita un aumento subito."
10,10,10,10,No,,10,Si consiglia di non fare provare a potenziali clienti auto in consegna presenti nell'autosalone e con il proprietario in attesa del ritiro.
10,10,10,10,Non necessario,,10,A ***...cortesia e professionalità al top!
10,10,10,10,Si,10.0,10,Grazie per il servizio offerto.
10,10,10,10,Si,10.0,10,Tutte le persone con qui ho parlato sono state molto cortesi e si sono espresse con competenza. Sicuramente consigliero a parenti ed amici di consultarvi in caso di bisogno.
9,9,9,9,Si,9.0,9,Avrei gradito l’omaggio
10,10,10,10,Si,10.0,10,"Desidero ringraziare *** della Hyundai di *** per la sua straordinaria professionalità, chiarezza e gentilezza. È stata impeccabile in ogni fase del processo, rendendo l’esperienza d’acquisto semplice e piacevole. Sono talmente soddisfat"
9,9,9,9,Non necessario,,7,"Personale AUTOTORINO moloto gentile e competente. Tuttavia i tempi lunghi per la consegna e , soprattutto, l' incertezza su tempi e dati specifici dell' auto da parte di BMW- *** sono stati deludenti"
6,10,9,9,Si,8.0,8,Il venditore mi ha detto che il veicolo Disel che ho comprato non aveva l’adBlue. L’ho scoperto con mia grande sorpresa in fase di consegna. Saperlo prima avrei optato per un’altra motorizzazione. In fase di consegna ho trovato il paraurti frontale riga
9,9,9,9,Si,9.0,9,Continuate così grazie
10,10,10,10,Si,10.0,10,Grazie di cuore a tutti Voi.
10,10,10,10,Si,10.0,10,"Personale super, preparato a soddisfare ogni esigenza del cliente, molto soddisfatta consiglio a pieni voti"
10,10,10,10,Non necessario,,10,Sono anni che acquisto auto nella sede di  Portogruaro dopo Udine dove *** il responsabile di filiale mi ha sempre dato il massimo supporto con professionalità ed è per questo che da Roma  preferisco andare lì da lui  Voglio ringraziare personal
4,8,4,10,Si,6.0,6,Troppe problematiche e poca chiarezza nella restituzione della precedente auto al termine del noleggio
5,5,3,2,Si,10.0,9,non voglio esprimermi ...
10,10,10,10,Si,10.0,10,Controllate la data di scadenza dei prodotti…ho fatto una figuraccia con la suocera!!
10,10,10,10,No,,10,concessionaria molto efficiente
10,10,10,10,Si,10.0,10,Bravi bravi mi sono trovato benissimo grazie
10,10,10,10,,,10,"Non ho segnato nulla sulla prova della vettura, poiché l'acquisto è stato portato a termine in coda all'appuntamento per la prova di una vettura diversa. Ci siamo trovati molto bene su tutto."
10,10,10,10,No,,10,Tutto OK..
10,10,10,10,Si,9.0,9,"Durante la fase di acquisto mi sono state dettagliate le caratteristiche dell'autovettura, tra cui tutte le luci che dovevano essere a led, mentre dopo qualche giorno dalla consegna dell'auto mi sono accorto che le luci anabaglianti e abbaglianti sono in"
9,9,9,9,No,,9,Volevo ringraziare *** ***. Gentilissima
10,10,10,10,Si,10.0,10,Tutto molto bello bravissima e gentilissima ***!
10,10,10,10,Si,10.0,10,Ci troviamo bene con Voi.
10,10,10,10,Si,10.0,9,"Anche se io faccio fatica a comprendere subito e veloce, ma tutti proprio tutti sono stati molto gentili e tanta pazienza con me. Chiedo scusa se disturbato un po tanto. Grazie. *** ***."
10,10,10,10,Non necessario,,10,Un plauso al vs venditore sig *** ***. Gentile e professionale
10,10,10,10,,,10,acquistare su amazon adesivi per telepass da dare ai nuovi clienti
10,10,10,10,Si,10.0,10,"*** e *** sono persone super competenti, gentili , disponibili per ogni necessità del cliente. Per qualsisia informazione avvisano e arrivano mail e questa cosa è da apprezzare molto!"
1,1,1,1,No,,1,Rispettate la privacy
10,10,10,10,Non necessario,,10,Nessun suggerimento
10,10,10,10,Si,10.0,10,Ringrazio per la cortesia del personale ed in particolare del venditore *** ***.
10,10,10,10,,,9,"Sono stati tutti molto gentili e attenti, da *** il venditore Anche ***, l'assistente tecnico che ci ha mostrato le funzioni dell'auto. Grazie mille per tutto!"
10,10,10,9,Si,10.0,10,Il venditore *** *** è stato in tutto e per tutto molto professionale e corretto.
1,8,1,1,No,,1,"Ai primi di luglio avrei dovuto ritirare la vettura..... Ancora oggi nulla mi è stato comunicato sui tempi di consegna. Riguardo l'omaggio, pur apprezzando il pensiero, lo baratterei volentieri con la consegna della vettura."
10,10,10,10,Si,9.0,10,La consegna col pieno come taluni concessionari fanno sarebbe  un plus ad un servizio comunque di alto livello
10,10,9,10,No,,10,Personale molto disponibile e cortese
10,10,10,10,Si,10.0,10,"Durante la fase di acquisto sono stato seguito dal signor ***, per la parte commerciale, e dalla signora ***, per la parte amministrativa. A loro va il mio ringraziamento per la professionalità e la gentilezza dimostrata in t"
10,10,10,10,Non necessario,,10,Personale molto qualificato
7,8,7,7,Non necessario,,7,Una preparazione più specifica e tecnica circa il prodotto che stanno consegnando. Troppa fretta durante la fase della sottoscrizione dell’acquisto.
10,10,10,10,Non necessario,,10,Faccio i complimenti a tutto il personale
10,10,10,10,Si,10.0,10,Mi sono sentito tra amici
4,10,4,8,Non necessario,,8,"Nonostante tutti i problemi che mi sono stati creati, debo fare i miei complimenti alla signora *** molto cordiale e professionale, e al signor. *** che è stato molto premuroso e preciso, unica nota negativa è che il carichino (la presa schuko) era"
9,9,10,9,No,,9,"Come cliente e anche vostra collega (faccio parte del team CRM), posso suggerire  in fase di consegna di effettuare prima la spiegazione del veicolo per poi procedere alla firma del verbale di consegna o spiegare più nel dettaglio i punti del verbale di c"
9,9,9,9,Si,9.0,9,Più assistenza in post vendita
9,9,10,8,Si,10.0,9,"La non completa soddisfazione è dovuta al fatto che il veicolo è stato consegnato sprovvisto delle catene da neve, sebbene inserite nel preventivo e addebitate in fattura. Tramite mail avevo chiesto se l'app myt fosse disponibile anche per dispositivi and"
10,9,8,10,Non necessario,,10,Molto cordialità…da tutto il team
10,10,10,10,Si,10.0,10,"Le impiegate alla reception molto gentili, *** che mi ha seguito nella proposta dell'auto, esaustivo, competente, capace di andare incontro alle mie esigenze. *** immensa nel dare risposte immediate, proprio come piace a me.Bravo pure il responsab"
9,9,9,9,Si,9.0,9,Non ho ancora ricevuto l’omaggio Florida
10,10,10,10,Si,10.0,10,"Vorrei ringraziare ancora il sig. ***, per la sua disponibilità e professionalità, per la parte della consegna in ringraziamento alla sig.ra *** per la sia cortesia."
10,10,10,10,Si,10.0,10,Sarebbe bello diminuire i tempi di consegna
10,9,10,9,No,,9,Nei prossimi mesi saremo in ***. Cordiali saluti.
10,10,10,10,Si,10.0,10,"Molto soddisfatto del trattamento ricevuto in fase di primo approccio, trattativa, contratto. Spettacolare la consegna con informazioni chiare nonostante la complessità dei particolari da esporre. Molta, ma molta empatia da parte di tutto lo staff, che mi"
8,8,8,7,Si,8.0,8,Omaggio nn ricevuto
9,10,10,10,Non necessario,,10,grazie
10,10,10,10,Si,10.0,10,"Suggerimenti nessuni, devo ringraziare la professionalità e la cortesia del trattamento dedicatomi da parte dei venditori , ***, ***, e il supporto davvero prezioso della Sig.ra ***….sono stati sempre premurosi, profession"
10,10,10,10,Si,10.0,10,Precisazione - Come omaggio ho ricevuto un kit per la pulizia
10,10,10,10,Non necessario,,10,Personale disponibile ed educato. Il venditore con cui mi sono interfacciata mi ha seguito con pazienza dall’inizio alla fine.
10,10,10,10,Si,10.0,10,non ho suggerimenti sono stati tutti molto professionali e gentili
10,10,10,10,Non necessario,,10,Complimenti a *** e *** per la cortesia e la professionalità.
10,10,10,10,Non necessario,,10,"Mi rivolgo a chi è ancora indeciso nell’acquisito di una Mercedes..questa è la decima Classe E che acquisto e non mi è mai passato per la testa di cambiare marca e poi in questa concessionaria si diventa amici, a livello personale è importante, poi se qua"
10,9,10,10,Non necessario,,10,"Non sapevo dell'orario, mi dispiace"
10,10,10,10,No,,10,Il porta chiave non è della Mercedes non capisco perché dopo aver acquistato due vetture non venga fornito grazie buona giornata
10,10,10,10,Non necessario,,10,Il personale durante l'acquisto e alla consegna è stato molto professionale e disponibile.
10,10,10,10,Non necessario,,10,Tutto perfetto.. Grazie a gente competente che si fa il su lavoro..
9,9,9,9,Non necessario,,9,Mi sono fidato della persona che mi ha supportato su acquisto della nuova vettura e conseguente vendita della mia e direi molto soddisfattto. Assistito da persone giovani e di buona competenza. Relativamente all'omaggio dell'azienda agricola La Florida no
10,10,10,10,No,,9,Il libro utente non è molto semplice da consultare e manca di alcune spiegazioni le più fondamentali...
10,10,10,10,No,,10,Molto bravi e professionali
10,10,10,10,Non necessario,,10,Molto soddisfatto della macchina comprata e del venditore.
10,9,9,9,No,,9,Nessuno
10,10,10,10,Si,10.0,10,Ho acquistato una moto e non un auto Il venditore sig *** è stato molto Cortese e attento alle mie richieste Grazie a tali cortesia e attenzione ho infine perfezionato L acquisto anche se non era nei miei programmi attuali
10,10,10,9,No,,9,"Peccato che all'interno del concessionario, non ci sia un pannello coi colori disponibili per le autovetture. Bisogna affidarsi a quello che si vede sul computer, e come si sa, i colori non sono proprio uguali. Ho trovato un po' frettolosa la spiegazione"
10,10,10,10,Non necessario,,10,Ottimo servizio ho ottenuto subito l’auto con buon prezzo
10,10,10,10,Si,10.0,10,"Buongiorno, Sono molto soddisfatto dell’esperienza. Ieri ho finalmente ritirato la BMW X1. Ottima! Ringrazio il sig. *** e la signora *** per la loro competenza ed empatia. Sia in fase di configurazione del veicolo che in quella di"
7,7,10,9,Non necessario,,9,Ritiro l auto tra una settimana
10,10,10,10,Si,10.0,10,"Acquistato una Bmw serie 1. Sono stata seguita da ***,che ha soddisfatto ogni mia richiesta. La Sig.*** si è dimostrata molto competente e professionale e pure paziente!!! Concessionaria fatta da persone speciali! Top"
10,10,10,10,Non necessario,,10,"Spiegazioni esaustive sia all'atto dell'acquisto, sia relativamente al ritiro dell'usato, sia della spiegazione dei comandi al ritiro dell'auto nuova"
9,10,9,9,Non necessario,,9,"Suggerisco maggiori informazioni riguardo ai tagliandi da effettuare post vendita e le garanzie offerte da BYD sull’auto, con la consegna di documenti relativi."
9,9,9,10,No,,9,"Solo un appunto per il fatto che ha contratto concluso, mi è stata comunicata la riduzione della valutazione dell’usato dato in permuta. Prendere o lasciare. L’ho acquistata ugualmente perché volevo quell’auto,  ma la situazione è stata piuttosto sgradevo"
10,10,10,10,No,,10,Non abbiamo ricevuto il buono in omaggio che ci farebbe molto .piacere ricevere  visto che per l’acquisto della scorsa vita ci era stato dato .
10,10,10,10,Si,10.0,10,Per evitare spiacenti inconvenineti l'auto in permuta deve essere fatta una valutazione più precisa. Non deve essere valutata solo esteticamente dal venditore ma anche da un vostro perito a livello meccanico. Così da escludere qualsiasi dubbio e responsab
10,10,10,10,Non necessario,,3,"Funzionamento del Lane assist aleatorio. In autostrada/superstrada spesso cerca di posizionarsi in mezzo al nastro di asfalto, a cavallo della striscia di mezzeria senza tener conto dei veicoli già presenti nella corsia di marcia di destra.In galleria, in"
10,10,10,10,Si,10.0,10,Se c'è dell' altro formaggio lo gradirei volentieri...😜
10,10,10,10,,,10,Tutto molto bene
10,10,10,10,Si,10.0,10,"L unica cosa che non sono per niente soddisfatto anzi amareggiato,essendo residenze estero ho attesto circa due settimane, per poi dirmi che il finanziamento era negato e invece con un altra finanziaria molto conosciuta,in un ora ho avuto il benestare"
10,10,10,10,Si,10.0,10,Non ho ricevuto nessun omaggio forse perché ho acquistato una moto
10,10,10,10,No,,10,La spiegazione del funzionamento dell’auto è stato abbastanza completo anche se mi è rimasto qualche dubbio che cercherò di approfondire per mio conto
9,10,9,5,No,,9,Cercate di curare meglio la pulizia del mezzo in fase di consegna e preparate meglio i tecnici nella spiegazione del mezzo
10,10,10,10,Si,10.0,10,Positivo al100%100
10,10,10,10,Non necessario,,10,"Sono stati gentilissimi, impeccabili che non ho proprio nessun suggerimento da fare. Ho acquistato la mia precedente kia Picanto da un'altra concessionaria ma ho avuto qualche problema di troppo, cosi dal primo tagliando mi sono rivolto a Voi e mi sono tr"
10,10,8,8,No,,10,L’auto nuova mi è stata consegnata e dopo 100 metri si è acceso il sensore delle gomme Sono subito rientrato e l’unica spiegazione è stata che forse non avevano gonfiato bene le gomme!! Ho acquistato presso di voi più di quattro auto ed è la prima volta
9,9,9,9,No,,9,Sinceramente non ho capito a quale omaggio si riferisse
10,10,10,10,Non necessario,,10,L’unica cosa che non mi è stata detta è  relativa all’imminente uscita della Crosstreck 2026. Per il resto tutto è stato perfetto con l’eccezione della vostra agenzia di pratiche automobilistiche sita in *** chiamata “Agenzia Azzurra” dove l’accogl
6,6,6,6,Non necessario,,7,"Auto ritirato *** saldo fatto una settimana prima ,oggi *** ancora da riceve buono ricarica elettrica valore 1000 euro, provato ricarica a casa ma non riesco caricala non carica non so perché...."
9,9,9,9,Si,7.0,9,L’auto provata non corrisponde esattamente a quella consegnata. In particolare quella consegnata si accende con chiave e non con pulsante. Avendola guidata solo 2 giorni non posso segnalare altro al momento
10,10,10,9,Si,10.0,9,"Mi sono trovata bene, la macchina va benissimo. Era esattamente quello che mi serviva, sarebbe stato meglio se avesse ricevuto un riscontro più chiaro tra l’approvazione del finanziamento e consegna della macchina, magari anche via mail, sono rimasta senz"
10,10,10,10,Non necessario,,10,"Ottimo .. persone super gentili , preparati e disponibili. Ringrazio tutto lo staff"
10,10,10,10,Si,10.0,10,Ho apprezzato molto la professionalità e cortesia di *** con cui ho trattato l'acquisto della mia nuova auto.
7,9,8,10,Non necessario,,9,"A conoscenti che si sono rivolti ad altri concessionari Toyota, sono stati proposti pacchetti di tagliandi, installazione antifurto/satellitari. A me no. Inoltre, tempistica di consegna ""promessa"" non rispettata. Invece, la consegna dell'auto è stata molt"
10,10,10,10,Non necessario,,10,a
9,9,9,9,Non necessario,,9,Tutti gentili   .
10,10,10,10,Si,10.0,10,"sono molto soddisfatto dell'acquisto della mia Mercedes, ringrazio molto *** per la sua professionalità e la sua gentilezza."
10,9,9,6,Si,10.0,9,"Tutto bene, per migliorare dovreste rendere più flessibile la fase di consegna veicolo, dando la possibilità di farla in tardo pomeriggio o il sabato. Prendere ferie per ritirare la macchina non è il massimo. Nota di merito a *** , ci ha segu"
10,10,10,10,Non necessario,,10,"In merito al test drive, non mi é stato proposto, ma non lo avrei fatto comunque. Però questa variante di risposta non c'è nel questionario"
10,10,10,10,Non necessario,,10,tutti molto gentili e professionali ottimo servizio
10,10,7,2,No,,3,"IN DATA ODIERNA,*** l'auto non mi è stata ancora consegnata. In attesa di immatricolazione"
10,10,10,10,Non necessario,,10,Mettere dei parcheggi riservati per le auto consegnate in permuta
10,10,10,10,Si,10.0,10,"Omaggio non ritirato, in quanto esaurito. Encomio al Sig. *** per la professionalità, puntualità e cortesia dimostrata dal preventivo al ritiro. Favorevolmente colpita dallo Staff giovane e dinamico in generale!"
10,10,10,10,No,,10,Siamo veramente soddisfatti! Grazie di tutto
10,10,10,10,Si,10.0,10,"Poco da dire….ottima esperienza d’acquisto, si parte dalle meravigliose ragazze in reception *** e ***, per passare dal top dei venditori *** super preparato (auto elettrica), si finisce con *** Super!!!….fuori concorso l’omaggio del Boss, sem"
10,10,10,10,,,10,Il venditore *** *** ottimo consulente e molto professionale
10,10,8,8,Si,10.0,9,"Non mi sono state spiegate le tempistiche di attesa se si attiva un frazionamento, per altro fatto solo per poter avere l’estensione di garanzia. Ho dovuto prendere 2h di permesso da lavoro per la consegna in quanto non mi è stata data la possibilità del"
10,10,10,10,Non necessario,,10,*** super
9,10,10,10,No,,9,Unica nota negativa è che è stata richiesta la presenza di mia moglie in quanto cointestataria della permuta ma una volta in concessionario non ha dovuto effettuare nessuna firma.
10,10,10,10,No,,10,Non mi è stato dato nessun omaggio.
9,10,9,10,No,,9,"Ringrazio i consulenti *** *** e *** *** per la professionalità, cortesia e pazienza dimostrate. Gli uffici dedicati alle consegne (e soprattutto la sala d'attesa, 3 sedie in un corridoio) sono decisamente poco accoglienti. Riguardo all'auto"
10,10,10,10,Si,10.0,10,Un grazie particolare a *** (vendita) e a *** (consegna). Mi sono trovata molto bene.
9,10,9,10,Non necessario,,9,"Durante il contratto di acquisto, alle richieste che avevo formulato, ho dovuto con sofferenza  accontentarmi dell’unico omaggio ( il pieno di benzina ).Non credo visto il costo complessivo dell’auto di accontontentarmi di un semplice 60€. Comunque grazie"
10,10,10,10,,,10,"Mi è piaciuto molto trovare uno Staff giovane e ingamba, tutti molti preparati. Ovviamente ho avuto molti più contatti con *** *** che mi ha venduto l'auto e posso dire, da commerciale quale sono, che è veramente ingamba, sul pezzo e disponibile. ***"
10,10,10,10,Non necessario,,10,"è LA SECONDA AUTO CHE ACQUISTO DA VOI CON LA PRIMA, UNA YARIS , MI SONO TROVATA MOLTO BENE SONO SICURA CHE SARA LA STESSA COSA PER LA YARIS CROSS APPENA ACQUISTATA SALUTI"
10,9,9,10,No,,9,"premetto che sono soddisfatta dell'esperienza  e consiglierei la concessionaria però, se posso permettermi, offrire un caffè o un bicchiere d'acqua mentre si sta trattando con il vs consulente sarebbe stato un plus senz'altro apprezzato."
10,10,9,9,No,,9,Personale della concessionaria auto Torino gentile e cordiale
10,10,10,10,Non necessario,,10,Ottimo servizio gentilissimi tutti operatori della macchina sono molto soddisfatti grazie mille a tutti ❤️
8,10,10,10,Non necessario,,10,"Ho avuto un primo preventivo presso un concessionario Autotorino e ne sono uscito un pó perplesso. Ne ho fatto quindi un altro presso un altro concessionario Autotorino, dove avevo, peraltro, acquistato la mia prima mercedes. Il consulente *** *** ("
5,6,5,2,Si,6.0,5,"-Raccomanderesti concessionaria Autotorino? Non più di molti altri commercianti del settore. -cortesia e professionalità Receptionist,accoglienza in salone?: Cortese e solerte prima della firma del contratto poi con feddback di fastidio e insofferenza ad"
10,10,10,10,Si,10.0,10,Continuate così!!!!
10,10,10,10,Non necessario,,10,*** e *** sono stati molto cordiali e gentili nella Consegna del veicolo soprattutto *** che ci ha spiegato tutte le funzioni della auto..la macchina byd seal eccellente ha riscontrato dei problemi e loro si sono rivelati gentili e cordiali nel cer
10,10,10,10,Si,10.0,10,l'avrei gradito ma non l'ho ricevuto spero compenserete abbondantemente quando ritirerò la macchina che ho comprato il 29 luglio
1,1,1,1,Si,9.0,1,Errore nella compilazione libretto da parte byd e consegna slittata di una settimana… pessima spiegazione dei dipendenti.. dovevo prendere una byd più grande ma ho virato su tesla per non avere questi problemi
10,10,9,9,No,,9,Più chiarezza su costi complessivi delle attività
10,10,10,10,Non necessario,,10,Faccio io miei complimenti in primis a *** *** per come mi ha seguito nella fase di vendita (così bene da consigliarlo subito ad un amico che ha comprato a sua volta la moto!); ed a *** *** durante la consegna della mia moto per la profess
10,10,10,6,Si,10.0,9,Tutto bene solo procedure di consegna dell’usato e ritiro del nuovo molto più lunghe di quanto precedentemente detto
10,9,10,10,Non necessario,,10,Avremmo preferito il buono per la cena
10,10,10,10,No,,10,Assistenza alla configurazione dell autoveicolo e gentilezza della addetta davvero eccezionale
9,10,10,10,Si,10.0,9,Un ringraziamento particolare a *** *** che si è dimostrato estremamente disponibile durante tutte le fasi della vendita.
10,10,10,10,Non necessario,,10,Mantenere cortesia e disponibilità
10,10,10,10,Si,10.0,10,Sono soddisfatta
9,9,9,9,Si,9.0,9,spero ci sia un sondaggio che riguardi anche l'assistenza e l'officine per i tagliandi ... è importante.
9,9,9,9,Si,9.0,9,Top
10,10,10,10,Non necessario,,10,Un portadocumenti e portachiavi originali mercedes sarebbero più graditi. Il portadocumenti è veramente scarso.
9,9,10,10,Non necessario,,9,Essere più tempestivi nelle comunicazioni e verificare che tutto quanto richiesto nell’ordine sia disponibile alla consegna (mi manca la ruota di scorta che arriverà non si sa bene quando).
9,10,10,9,Si,10.0,9,Autotorino TOP Vanno migliorati i tempi con ARVAL
1,9,1,10,Si,10.0,10,Ottimo  venditore e assistenti per la consegna dell’autovettura
10,10,10,10,Non necessario,,10,Cordialità e Professionalità
9,9,9,9,Si,9.0,9,"Ho acquistato una Toyota C-HR per affidabilità ma purtroppo la mia già in assistenza perché non si connette il mio account my Toyota con la macchina, anche in assistenza non sono riusciti, adesso aperto ticket con Toyota aspetto risposta per risoluzione.P"
7,9,9,9,No,,8,Niente di negativo da dire sul personale. Avrei gradito di più che le tempistiche di consegna fossero state rispettate. Eccessivo partire da 9 per la graduatoria di gradimento. Buon lavoro. 👍
10,10,10,10,Si,10.0,10,Grande cortesia e ottima presentazione ed assistenza Altamente soddisfatto..
10,10,9,10,Non necessario,,10,"Tutto molto bene. Un suggerimento: la macchina è arrivata con due mesi di ritardo, una maggiore informazione in merito all'aggiornamento su quando sarebbe arrivata la vettura e i motivi del ritardo, sarebbe stata cosa gradita. Per il resto, tutte le perso"
9,9,9,9,No,,9,Avrei gradito maggiori chiarimenti in occasione della consegna. Auto fornita con sensori molto deboli ho chiesto via mail ed attendo f.b. sulla possibilita' di aumentare il volume o in alternativa se devo passare in concessionaria
10,10,10,10,Si,10.0,10,Molto soddisfatto della professionalità e cortesia dimostrata da ***
10,10,10,10,Si,10.0,10,La macchina presenta sulle cornici degli sportelli  delle porte alcuni schizzi già conosciuti da Mercedes che non si tolgono lavando e che ci dicono essere presenti su tutte le macchine CLE e per le quali anziché provvedere ci consigliano di andare da un
9,9,9,9,Non necessario,,9,Acquistato KIA picant0 con l'aiuto e consigli del consulente *** *** grazie a lui era l'auto che rispettava le mie aspettative.  Un ringraziamento a collaboratori della concessionaria AUTOTORINO veramente gentili. Non ritirato omaggio quel giorn
9,8,9,8,Si,9.0,9,"Le spiegazioni per l'utilizzo dell'auto devono essere effettuate con più tempo e calma (non sto criticando chi mi ha consegnato la macchina, ma devono essere riviste le modalità per la consegna delle vetture di ultima generazione, sono troppe le informazi"
10,10,10,10,Si,10.0,10,Continuare così
10,10,10,10,Si,10.0,10,Persone giovani  Educate  Piacevoli
10,9,9,7,Non necessario,,9,Un po troppa fretta per avere bonifico per poi essere meno veloci nella consegna.comunque tutto bene e tutti molto gentili .
9,9,9,8,Si,10.0,9,"Sono molto soddisfatto dell'agente che mi ha seguito durante la vendita ( ***) . Non molto soddisfatto sui tempi della consegna, controperizia  + o - 3 ore. Infatti sono arrivato da voi alle 14.55 di lunedì 21 luglio e sono uscito per andare in agenzia"
10,10,10,10,Non necessario,,10,"Volevo esprimere i miei complimenti al venditore *** che con professionalità, pazienza, eleganza e discrezione, senza essere invadente, mi ha accompagnato nel percorso di scelta della mia prima auto di Casa Mercedes. Mi ha aiutata in tutti i passaggi di"
9,10,10,10,No,,10,"È bellissima la consegna nel box privato, sembra un servizio esclusivo, ti fa sentire un cliente importante anche se alla fine ho preso solo una Yaris."
10,10,10,9,Si,9.0,9,Tutto bene. Personale preparato.
10,10,10,10,Si,10.0,10,Complimenti al venditore *** e alla Consegnatrice *** che mi hanno seguito in ogni fase fino alla consegna della mia vettura. Sono soddisfatto e sicuramente tornerò ad acquistare qui la prossima auto.
5,6,8,6,No,,7,Migliorare l’organizzazione e la formazione del personale
10,10,10,10,,,10,La prova dell'auto non è stata possibile perché non presente in concessionaria.
10,10,10,10,Non necessario,,10,"Nessuno, per me comprare vetture da ***, sono una garanzia. Non la provo e mi consiglia sempre perfettamente."
10,10,10,10,Si,10.0,9,"Non ho ancora ricevuto nessun omaggio, per cui non esprimo nessun giudizio in merito,ma dovendo compilare il campo ho dichiarato no. Ho trovato personale ben preparato, gentile e disponibile (reparto BYD), dedicano il giusto tempo e con pazienza e compet"
10,9,9,10,Non necessario,,10,"....scusate, quale omaggio?!🤣 Avrei gradito in ogni caso un libretto/manuale cartaceo, magari anche una mail con un file in PDF.... Rimango a disposizione per eventuali consigli ☺️"
10,10,10,10,No,,10,Un suggerimento che posso dare è quello di proporre un giro di prova dell'autovettura prima dell'acquisto
10,9,10,10,Si,10.0,10,"Il Sig. *** è un venditore molto serio, affidabile e competente. Capisce subito le esigenze dell’acquirente e le soddisfa nel più breve tempo. Lo stesso per la Signora *** che mi ha consegnato la Jeep rispettando le mie esigenze. Davvero s"
10,10,10,10,Non necessario,,10,Difficile suggerire come migliorare qualcosa che che già ha uno standard molto elevato. Continuate così e grazie per la vostra cortesia e professionalità.
10,10,10,10,Non necessario,,10,Migliore precisione nella descrizione di eventuali accessori non in dotazione (cavo per ricarica con presa domestica)
10,10,10,10,Si,10.0,10,"Thankyouverymuch Miss ***, Mr. ***, & all the staff of Autotorino who assisted us during & until we acquired our new car ""Yaris Cross 2025""."
10,10,10,10,Si,10.0,10,Non ho ricevuto omaggio
9,9,9,9,No,,9,"Il personale è stato molto gentile, con spiegazioni sulla macchina nuova molto chiare"
10,10,10,10,Si,10.0,10,"Desidero esprimere un sincero apprezzamento per l’eccellente accoglienza e il servizio ricevuto presso la vostra filiale. Da sottolineare le ottime capacità di gestione del capo filiale, la cui leadership attenta e competente si riflette in un’organizzazi"
10,10,10,10,Si,10.0,10,La qualità del Vs. Servizio è ottima
9,9,9,9,Non necessario,,9,"Di venditori perfetti si sa non ne esistono, In modo analogo anche di clienti. Qualche intoppo o imprevisto è da considerarsi. Questo non toglie comunque nulla a quelle persone con cui abbiamo avuto a che fare per il nostro acquisto. Gentili e competenti."
1,10,10,10,Non necessario,,10,"Ottimo il personale , cordiale , disponibile , professionale"
10,10,9,10,No,,10,"Per la vendita mi ha seguito ***, molto bravo e attento alle domande fatte! Per la consegna macchina ci ha seguito sia per le pratiche che l'uso della macchina la Sig.ra ***, molto brava e paziente nello spiegare tutte le funzionalità del"
10,10,10,10,Si,10.0,10,"Per l'acquisto del mio Van , ho trovato grande competenza e professionalità nelle persone con cui ho avuto rapporti . Dall'accoglienza nel salone , al venditore è stato particolarmente esaustivo e di grande aiuto nella scelta del modello adatto alle mie"
9,9,9,9,No,,9,Tutto perfetto
9,9,9,9,No,,9,"Buongiorno, ho acquistato una Toyota CHR Plug in, in fase di contratto ho chiesto dei tappetini in tessuto più spessi, ma al momento del ritiro della vettura i tappetini erano in gomma, ho chiesto al venditore *** se si poteva fare lo scambio,"
10,10,10,10,Si,10.0,10,Volevo ringraziare *** *** *** e la Sig. *** per la cortesia e la competenza in tutte le operazioni di acquisto e consegna dell auto.
10,10,10,10,Non necessario,,10,"Poter sbrigare le pratiche amministrative di vendita dell'auto in permuta presso la sede sarebbe comodo. Anche se la distanza dall'agenzia è veramente minima. Personale gentilissimo e questo lo trovo importante, fa la differenza. Dalla Mercedes mi aspetto"
10,10,10,8,Non necessario,,10,Venditore e personale gentili preparati e professionali. Sono riusciti pienamente a soddisfare le mie richieste proponendomi un ottima offerta più vantaggiosa rispetto ad altri concessionari da me visitati in precedenza e ad illustrarmi l auto da me scelt
10,10,10,9,Si,10.0,10,"Sono  molto  contenta,il personale  molto  gentile. Grazie mille"
10,10,10,9,Non necessario,,10,"Ingrandire il parcheggio, ci si muove a fatica, anche in fase di ritiro  auto"
